CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;4;0;0;0;4.50;85.56;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;87;0;0;0;4.77;87.74;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Traslado a otra Universidad;Mujeres;0;0;0;6;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;17;7;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;10;4;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;1;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;36;0;0;0;4.76;83.99;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;50;0;0;0;4.70;84.98;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Primaria;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Hombres;0;5;2;0;;;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Abandono Voluntario;Mujeres;0;4;0;0;;;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Graduado;Hombres;12;0;0;0;4.64;92.02;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Graduado;Mujeres;60;0;0;0;4.58;89.47;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;7;;;12/09/2021
2019;Teruel;Maestro Lengua Extranjera;Diplomatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;1;;;12/09/2021
2019;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;7;0;0;0;1.29;97.20;12/09/2021
2019;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;10;0;0;0;1.20;98.04;12/09/2021
2019;Teruel;Máster: Psicología General Sanitaria;Máster;Abandono Voluntario;Mujeres;0;1;0;0;;;12/09/2021
2019;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Hombres;2;0;0;0;2.00;100.00;12/09/2021
2019;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Mujeres;29;0;0;0;2.07;99.09;12/09/2021
2019;Zaragoza;Biblioteconomía y Documentación;Diplomatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;1;;;12/09/2021
2019;Zaragoza;Ciencias Empresariales;Licenciatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;3;;;12/09/2021
2019;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;6;;;12/09/2021
2019;Zaragoza;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;2;;;12/09/2021
2019;Zaragoza;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;9;;;12/09/2021
2019;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Abandono Voluntario;Mujeres;0;1;0;0;;;12/09/2021
2019;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Hombres;5;0;0;0;4.55;;12/09/2021
2019;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Mujeres;6;0;0;0;4.01;;12/09/2021
2019;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Mujeres;0;2;0;0;;;12/09/2021
2019;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Graduado;Hombres;2;0;0;0;3.94;;12/09/2021
2019;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Graduado;Mujeres;1;0;0;0;2.36;;12/09/2021
2019;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;12/09/2021
